Game name,Running status,Game save status,Savestate status,Gameplay rating,Notes
Pokemon - Blue Version,1,0,0,3,Game crashes when healing Pokemons at Pokemon Center
Pokemon - Red Version,1,0,0,3,Game crashes when healing Pokemons at Pokemon Center
Tetris,2,X,0,3,
